name          , type    , strDefault, attributes  , section   , upgrades, docOrder, description
address       , address ,           , readOnly    , Identity  ,         ,        1, the address for the ABI
addressName   , string  ,           , readOnly    , Identity  ,         ,        2, the name for this address
path          , path    ,           , noui|noTable, Identity  ,         ,        3, the folder holding the abi file
nFunctions    , uint64  ,           ,             , Statistics,         ,        4, the number of functions in the ABI
nEvents       , uint64  ,           ,             , Statistics,         ,        5, the number of events in the ABI
fileSize      , fileSize,           ,             , Statistics,         ,        6, the size of this file on disc
isEmpty       , boolean ,           , noui|noTable, Properties,         ,        7, true if the ABI could not be found (and won't be looked for again)
isKnown       , boolean ,           , noui|noTable, Properties,         ,        8, true if this is the ABI for a known smart contract or protocol
hasConstructor, boolean ,           , noui|noTable, Properties,         ,        9, if verbose and the abi has a constructor&#44; then `true`&#44; else `false`
hasFallback   , boolean ,           , noui|noTable, Properties,         ,       10, if verbose and the abi has a fallback&#44; then `true`&#44; else `false`
lastModDate   , datetime,           , noui        , Metadata  ,         ,       11, the last update date of the file
