name                , type     , strDefault, attributes, section , upgrades, docOrder, description
blockNumber         , blknum   ,           ,           , Context ,         ,        1, the number of the block
transactionIndex    , txnum    ,           ,           , Context ,         ,        2, the zero-indexed position of the transaction in the block
hash                , hash     ,           ,           , Overview,         ,        3, the hash of the transaction
from                , address  ,           ,           , Overview,         ,        4, address from which the transaction was sent
fromName            , string   ,           ,           , Overview,         ,        5, name for address from which the transaction was sent
to                  , address  ,           ,           , Overview,         ,        6, address to which the transaction was sent
toName              , string   ,           ,           , Overview,         ,        7, name for address to which the transaction was sent
value               , ether    ,           ,           , Overview,         ,        8, the amount of wei sent with this transactions
date                , datetime ,           , noTable   , Overview,         ,        9, the timestamp as a date
gasOut              , gas      ,           ,           , Gas     ,         ,       10, the amount of gas spent on the transaction
timestamp           , timestamp,           , noTable   , Overview,         ,       11, the Unix timestamp of the object
input               , bytes    ,           , noTable   , Overview,         ,       12, byte data either containing a message or funcational data for a smart contracts
articulatedTx       , *Function,           , noTable   , Overview,         ,       13, articulated transaction data
isError             , boolean  ,           , noTable   , Overview,         ,       14, `true` if the transaction ended in error&#44; `false` otherwise
hasToken            , boolean  ,           , noTable   , Overview,         ,       15, `true` if the transaction is token related&#44; `false` otherwise
gas                 , gas      ,           , noTable   , Gas     ,         ,       16, the maximum number of gas allowed for this transaction
gasPrice            , gas      ,           , noTable   , Gas     ,         ,       17, the number of wei per unit of gas the sender is willing to spend
maxFeePerGas        , gas      ,           , noTable   , Gas     ,         ,       18, maximum fee per gas
maxPriorityFeePerGas, gas      ,           , noTable   , Gas     ,         ,       19, maximum priority fee per gas
blockHash           , hash     ,           , noTable   , Context ,         ,       20, the hash of the block containing this transaction
nonce               , value    ,           , noTable   , Details ,         ,       21, sequence number of the transactions sent by the sender
type                , string   ,           , noTable   , Details ,         ,       22, the transaction type
