name        , type     , strDefault, attributes, section, docOrder, description
timestamp   , timestamp,           , noTable   , Context,        1, the current timestamp when the report was generated
blockNumber , blknum   ,           , noTable   , Context,        2, the current block number when the report was generated
owner       , address  ,           ,           , Details,        3, the address of the owner of the token (the approver)
token       , address  ,           ,           , Details,        4, the address of the ERC-20 token being approved
spender     , address  ,           ,           , Details,        5, the address being granted approval to spend tokens
allowance   , wei      ,           ,           , Details,        6, the amount of tokens approved for spending
lastAppBlock, blknum   ,           , noTable   , Data   ,        7, the block number of the last approval event
lastAppLogID, lognum   ,           , noTable   , Data   ,        8, the log index of the last approval event
lastAppTs   , timestamp,           ,           , Data   ,        9, the timestamp of the last approval event
lastAppTxID , txnum    ,           , noTable   , Data   ,       10, the transaction index of the last approval event
