section,facet,order,label,isForm,key,width,sortable,filterable,formatter
columns,statements,1,Date,false,date,120,false,false,datetime
columns,statements,2,Asset,false,asset,340,false,false,address
columns,statements,3,Symbol,false,symbol,200,false,false,
columns,statements,4,Decimals,false,decimals,100,false,false,
columns,statements,5,Begin Balance,false,begBal,150,false,false,wei
columns,statements,6,In,false,amountIn,150,false,false,wei
columns,statements,7,Out,false,amountOut,150,false,false,wei
columns,statements,8,End Balance,false,endBal,150,false,false,wei
columns,statements,9,Gas Used,false,gasUsed,120,false,false,gas
columns,statements,10,Type,false,reconciliationType,100,false,false,
columns,statements,11,Actions,false,actions,80,false,false,
columns,balances,1,Date,false,date,120,false,false,datetime
columns,balances,2,Holder,false,holder,340,false,false,address
columns,balances,3,Address,false,address,340,false,false,address
columns,balances,4,Symbol,false,symbol,100,false,false,
columns,balances,5,Balance,false,balance,150,false,false,wei
columns,balances,6,Decimals,false,decimals,100,false,false,
columns,balances,7,Actions,false,actions,80,false,false,
columns,transfers,1,Block,false,blockNumber,100,false,false,
columns,transfers,2,Tx Index,false,transactionIndex,80,false,false,
columns,transfers,3,Log Index,false,logIndex,80,false,false,
columns,transfers,4,From,false,from,340,false,false,address
columns,transfers,5,To,false,to,340,false,false,address
columns,transfers,6,Asset,false,asset,340,false,false,address
columns,transfers,7,Amount,false,amount,150,false,false,wei
columns,transfers,8,Actions,false,actions,80,false,false,
columns,transactions,1,Block,false,blockNumber,100,false,false,
columns,transactions,2,Index,false,transactionIndex,80,false,false,
columns,transactions,3,Hash,false,hash,340,false,false,hash
columns,transactions,4,From,false,from,340,false,false,address
columns,transactions,5,To,false,to,340,false,false,address
columns,transactions,6,Value,false,value,150,false,false,wei
columns,transactions,7,Gas Used,false,gasUsed,120,false,false,gas
columns,transactions,8,Actions,false,actions,80,false,false,
columns,withdrawals,1,Block,false,blockNumber,100,false,false,
columns,withdrawals,2,Index,false,index,80,false,false,
columns,withdrawals,3,Validator,false,validatorIndex,100,false,false,
columns,withdrawals,4,Address,false,address,340,false,false,address
columns,withdrawals,5,Amount,false,amount,150,false,false,ether
columns,withdrawals,6,Actions,false,actions,80,false,false,
columns,assets,1,Address,false,address,340,false,false,address
columns,assets,2,Holder,false,holder,340,false,false,address
columns,assets,3,Symbol,false,symbol,100,false,false,
columns,assets,4,Name,false,name,200,false,false,
columns,assets,5,Decimals,false,decimals,100,false,false,
columns,assets,6,Total Supply,false,totalSupply,150,false,false,wei
columns,assets,7,Actions,false,actions,80,false,false,
columns,logs,1,Block,false,blockNumber,100,false,false,
columns,logs,2,Tx Index,false,transactionIndex,80,false,false,
columns,logs,3,Log Index,false,logIndex,80,false,false,
columns,logs,4,Address,false,address,340,false,false,address
columns,logs,5,Topic0,false,topic0,340,false,false,hash
columns,logs,6,Topic1,false,topic1,340,false,false,hash
columns,logs,7,Actions,false,actions,80,false,false,
columns,traces,1,Block,false,blockNumber,100,false,false,
columns,traces,2,Tx Index,false,transactionIndex,80,false,false,
columns,traces,3,Trace Index,false,traceIndex,80,false,false,
columns,traces,4,From,false,from,340,false,false,address
columns,traces,5,To,false,to,340,false,false,address
columns,traces,6,Value,false,value,150,false,false,wei
columns,traces,7,Type,false,type,100,false,false,
columns,traces,8,Actions,false,actions,80,false,false,
columns,receipts,1,Block,false,blockNumber,100,false,false,
columns,receipts,2,Index,false,transactionIndex,80,false,false,
columns,receipts,3,Tx Hash,false,transactionHash,340,false,false,hash
columns,receipts,4,From,false,from,340,false,false,address
columns,receipts,5,To,false,to,340,false,false,address
columns,receipts,6,Gas Used,false,gasUsed,120,false,false,gas
columns,receipts,7,Status,false,status,80,false,false,
columns,receipts,8,Actions,false,actions,80,false,false,

section,facet,panel,detailOrder,label,isForm,key,formatter
details,statements,Statement Summary,1,Date,false,date,datetime
details,statements,Statement Summary,2,Account,false,accountedFor,address
details,statements,Statement Summary,3,Reconciled,false,reconciled,
details,statements,Statement Summary,4,Type,false,reconciliationType,
details,statements,Statement Summary,5,Gas Used,false,gasUsed,gas
details,statements,Asset Information,6,Asset,false,asset,address
details,statements,Asset Information,7,Symbol,false,symbol,
details,statements,Asset Information,8,Decimals,false,decimals,
details,statements,Asset Information,9,Spot Price,false,spotPrice,
details,statements,Asset Information,10,Price Source,false,priceSource,
details,statements,Balance Reconciliation,11,Begin Balance,false,begBal,wei
details,statements,Balance Reconciliation,12,Total In,false,totalIn,wei
details,statements,Balance Reconciliation,13,Total Out,false,totalOut,wei
details,statements,Balance Reconciliation,14,Net Amount,false,amountNet,wei
details,statements,Balance Reconciliation,15,End Balance,false,endBal,wei
details,statements,Balance Reconciliation,16,Calculated End Balance,false,endBalCalc,wei
details,statements,Inflow Details,17,Amount In,false,amountIn,wei
details,statements,Inflow Details,18,Internal In,false,internalIn,wei
details,statements,Inflow Details,19,Self Destruct In,false,selfDestructIn,wei
details,statements,Inflow Details,20,Base Reward In,false,minerBaseRewardIn,wei
details,statements,Inflow Details,21,Tx Fee In,false,minerTxFeeIn,wei
details,statements,Inflow Details,22,Prefund In,false,prefundIn,wei
details,statements,Outflow Details,23,Amount Out,false,amountOut,wei
details,statements,Outflow Details,24,Internal Out,false,internalOut,wei
details,statements,Outflow Details,25,Self Destruct Out,false,selfDestructOut,wei
details,statements,Outflow Details,26,Gas Out,false,gasOut,wei
details,statements,Transaction Details,27,Block Number,false,blockNumber,
details,statements,Transaction Details,28,Transaction Index,false,transactionIndex,
details,statements,Transaction Details,29,Log Index,false,logIndex,
details,statements,Transaction Details,30,Transaction Hash,false,transactionHash,hash
details,statements,Transaction Details,31,Sender,false,sender,address
details,statements,Transaction Details,32,Recipient,false,recipient,address
details,statements,Reconciliation Analysis,33,Previous Balance,false,prevBal,wei
details,statements,Reconciliation Analysis,34,Begin Balance Diff,false,begBalDiff,wei
details,statements,Reconciliation Analysis,35,End Balance Diff,false,endBalDiff,wei
details,statements,Reconciliation Analysis,36,Correcting Reasons,false,correctingReasons,
details,statements,Correction Entries,37,Correct Begin Bal In,false,correctBegBalIn,wei
details,statements,Correction Entries,38,Correct Amount In,false,correctAmountIn,wei
details,statements,Correction Entries,39,Correct End Bal In,false,correctEndBalIn,wei
details,statements,Correction Entries,40,Correct Begin Bal Out,false,correctBegBalOut,wei
details,statements,Correction Entries,41,Correct Amount Out,false,correctAmountOut,wei
details,statements,Correction Entries,42,Correct End Bal Out,false,correctEndBalOut,wei
details,balances,Balance Information,1,Date,false,date,datetime
details,balances,Balance Information,2,Balance,false,balance,wei
details,balances,Balance Information,3,Prior Balance,false,priorBalance,wei
details,balances,Balance Information,4,Total Supply,false,totalSupply,wei
details,balances,Balance Information,5,Token Type,false,type,
details,balances,Token Details,6,Token Address,false,address,address
details,balances,Token Details,7,Holder,false,holder,address
details,balances,Token Details,8,Symbol,false,symbol,
details,balances,Token Details,9,Token Name,false,name,
details,balances,Token Details,10,Decimals,false,decimals,
details,balances,Transaction Context,11,Block Number,false,blockNumber,
details,balances,Transaction Context,12,Transaction Index,false,transactionIndex,
details,balances,Transaction Context,13,Timestamp,false,timestamp,datetime
details,transfers,Transaction Info,18,Block,false,blockNumber,
details,transfers,Transaction Info,19,Tx Index,false,transactionIndex,
details,transfers,Transaction Info,20,Log Index,false,logIndex,
details,transfers,Transfer Details,1,From,false,from,address
details,transfers,Transfer Details,2,To,false,to,address
details,transfers,Transfer Details,3,Holder,false,holder,address
details,transfers,Transfer Details,3,Sender,false,sender,address
details,transfers,Transfer Details,4,Asset,false,asset,address
